country,city,postalCode,provinceState,streetName
Liechtenstein,Jacquelinemouth,66735,Arizona,Boyle Mission
Switzerland,North Benjaminhaven,67508,Kansas,Lauren Keys
Cameroon,Carlyton,02354,Pennsylvania,Brenda Branch
Anguilla,Sandersshire,69209,Maine,Alexander Circles
Sierra Leone,Curtistown,98893,Maryland,Conley Shoals
Antarctica (the territory South of 60 deg S),New Luke,21790,California,Brooks Branch
Namibia,East Stephanie,16780,Wyoming,Mendoza Stravenue
Trinidad and Tobago,Harrisonstad,27109,Indiana,Rowe Station
Bolivia,West Meganport,05310,Kentucky,Mullins Causeway
Sao Tome and Principe,Lake Anthonyshire,04601,Mississippi,Pham Unions
Italy,Lake Codyhaven,29308,Massachusetts,Mark Drives
Gambia,Millermouth,61430,Connecticut,Blake Skyway
Montenegro,Rochaport,26582,Kansas,James Mountains
Guinea-Bissau,Floydborough,10098,Texas,Williams Glens
Bulgaria,Bryantfort,16052,New Hampshire,Baker Parkway
South Africa,Holmeshaven,56267,Georgia,William Oval
Afghanistan,South Seantown,46132,Kentucky,Atkins Path
Samoa,Bryanbury,18055,Mississippi,Brian Plains
Equatorial Guinea,Jonathanport,54553,Missouri,Fletcher Harbors
Honduras,South Lauriebury,93744,New York,Edwards Parks
Sao Tome and Principe,Port Kristinaville,64532,California,Ashley Vista
Bosnia and Herzegovina,South Codyside,62736,Pennsylvania,Bartlett Shoals
Jordan,North Ericville,71959,Oklahoma,Travis Light
Heard Island and McDonald Islands,Lake Jennaland,11182,Hawaii,Fred Mount
Mauritania,Port Melissa,47554,Michigan,Ortega Place
Palestinian Territory,South Patricia,39386,Oregon,Jackson Squares
American Samoa,North Amberborough,10714,California,Mindy Inlet
Barbados,Monicaberg,97853,Indiana,Waters Falls
Uruguay,New David,26243,Kentucky,Amanda Trafficway
Madagascar,Meganmouth,56373,Alaska,Snyder Rapids
Western Sahara,Lake Eric,51459,Alabama,Brenda Ridges
Haiti,Pottschester,17180,North Dakota,Amanda Circle
Tuvalu,Mccartytown,81280,Hawaii,Stephens Drive
Haiti,East Micheleshire,25680,North Dakota,Donald Walk
Palestinian Territory,East Andrewborough,02192,Florida,Renee Throughway
Mali,East Danaside,27077,South Carolina,Perez Flat
Togo,New Matthew,53160,Tennessee,Adams Terrace
Marshall Islands,New Brenda,16454,Florida,Lopez Turnpike
Montenegro,Jameschester,23042,South Dakota,Miller Locks
Poland,Lake Amyton,92992,Maryland,Fuller Islands
Vietnam,Francohaven,23886,South Carolina,Kimberly Shores
Chad,Ramirezberg,50906,Nevada,Shannon Ports
Cyprus,Alanberg,50811,Mississippi,Rocha Ports
Marshall Islands,Patriciabury,93427,Wisconsin,Ramsey Light
Samoa,Barkerton,90672,Arizona,Wallace Parkway
United States Virgin Islands,Mindystad,53587,New York,Cindy Glen
Belgium,Hernandezmouth,83836,Maryland,Ramsey Meadows
Martinique,North David,66329,Michigan,Timothy Heights
Guinea-Bissau,Omarstad,63553,Wyoming,Reilly Court
Gibraltar,South Frankbury,89972,Hawaii,Kelly Burg
Tonga,Laurenside,90685,Arkansas,Sarah Ferry
Germany,Port Rickymouth,33357,New Mexico,Blake Lights
Solomon Islands,Lake Ryanville,03513,Virginia,Bowman Expressway
Libyan Arab Jamahiriya,South Melaniefurt,46332,Colorado,Ortiz Tunnel
Turkmenistan,South Adam,39104,New York,Vargas Landing
Northern Mariana Islands,Tracymouth,70034,California,Matthew Road
Faroe Islands,Kimberlyville,66496,Louisiana,Sanchez Burgs
Bahrain,South Charles,56989,Connecticut,Stone Locks
Burundi,Christopherside,90248,Washington,Jackson Village
Croatia,Port Amy,67118,Oklahoma,Edward Knoll
Uzbekistan,Port Jeffrey,95405,Mississippi,Walker Canyon
Australia,North Jamieview,03013,Virginia,Hubbard Loaf
Gambia,Allisonmouth,24293,New Hampshire,Amy Heights
Isle of Man,Combston,11831,Montana,Paula Walk
Denmark,Anthonyview,91390,Georgia,Kim Key
Denmark,Susanland,11416,Missouri,Brandon Knoll
Serbia,Housefort,41205,West Virginia,Davenport Way
Norway,Rebeccaview,20589,Maine,Koch Ranch
Syrian Arab Republic,Sweeneyland,08035,Montana,Fletcher Creek
Senegal,Port Hollychester,88090,Nebraska,Heather Plains
Palestinian Territory,Lake Peter,41020,Pennsylvania,Andre Groves
United States of America,Williamstown,00813,Tennessee,Mark Court
Saint Kitts and Nevis,Lake James,78470,Ohio,Gomez Hills
Saint Barthelemy,Robertside,83878,Maine,Ruiz Mews
Israel,Lake Vanessaville,25897,Kentucky,Vance Station
Saint Lucia,Gardnerburgh,04608,Delaware,Aaron Plains
Qatar,Travisville,38070,Washington,Yates Freeway
Morocco,Lindamouth,25533,Nebraska,James Falls
Macao,Silvamouth,15032,Vermont,Copeland Ford
Cook Islands,Brittanyland,32064,Oregon,Soto Park
Montenegro,Lake Jennaville,95791,Kentucky,Pamela View
Libyan Arab Jamahiriya,Brianview,03106,Virginia,Timothy Corner
Netherlands Antilles,South Rachelmouth,09553,Mississippi,William Meadows
Netherlands Antilles,West Erika,10456,New York,Mathews Lights
Malta,Josephshire,23887,Rhode Island,Nichole Ridge
Syrian Arab Republic,Dannyborough,73421,Pennsylvania,Lester Parkways
Cyprus,Cooperland,45181,Idaho,Webster Shoal
Cambodia,Susanland,96437,Nebraska,Schaefer Unions
Cape Verde,Shannonchester,16145,Alabama,Graves Center
Bhutan,North Deannaborough,91840,Delaware,Melinda Greens
Falkland Islands (Malvinas),Medinaton,23225,North Dakota,Hoffman Dale
Singapore,Benjaminfurt,65147,Colorado,Diana Camp
Papua New Guinea,Marktown,75568,Connecticut,Jessica Trace
San Marino,West William,81520,Nevada,James Crossroad
Benin,South Charlesport,40978,North Carolina,Galvan Walk
Nicaragua,North Marcus,47311,Nebraska,Jessica Place
Taiwan,East Lisa,21003,California,Danielle Estate
Northern Mariana Islands,Lake Debra,40490,Wisconsin,Gonzalez Bypass
Slovenia,West Terryville,10895,Rhode Island,Martinez Rue
Saint Kitts and Nevis,Lake Russell,01918,Florida,Tran Center
China,Alyssaburgh,34656,Louisiana,Mcgrath Ranch
Pitcairn Islands,Stevenfurt,92681,Florida,Shelly Island
Jordan,West Janetburgh,47732,Hawaii,Vazquez Cliff
Korea,Lake Lindseyshire,44220,Kentucky,Smith Grove
Namibia,Harmonberg,06988,Nevada,Foster Trail
Somalia,Bradfordland,85017,Georgia,Douglas Heights
French Guiana,South Katelyn,07090,New York,Mahoney Extensions
Palestinian Territory,North Mariah,27436,Maryland,Gonzalez Locks
Anguilla,Robinsonport,47962,Indiana,Bruce Road
Turks and Caicos Islands,Rebeccaport,70065,New York,Smith Mission
Albania,Brownside,84166,Indiana,Natasha Street
Congo,Reyesmouth,21883,West Virginia,Margaret Prairie
China,Jasonhaven,17040,Kansas,Rebecca Street
Luxembourg,Lake Mary,36995,Idaho,Stephanie Trail
El Salvador,Kimberlyport,34938,Ohio,Hayden Club
Vanuatu,Valenciaton,89093,Florida,Robinson Court
Pakistan,Stantonland,23939,Tennessee,Morris Plain
Belgium,Lynnburgh,06733,Vermont,Mayo Springs
Nicaragua,Simpsonchester,30757,New Jersey,Richard Brooks
Bulgaria,West Juan,70796,California,Shaffer Springs
Vanuatu,East Christianfort,76213,Nevada,Taylor Turnpike
Tajikistan,Lake Rebecca,39331,Wyoming,Briana Summit
Guam,South Andrewchester,61956,Mississippi,Maria Expressway
United States Virgin Islands,Rollinsville,28611,Ohio,Robles Forks
Palau,Andreaville,86900,West Virginia,Shelly Dam
Bangladesh,North Monicaburgh,03441,South Carolina,Susan Pike
Cote d'Ivoire,Port Alexis,61058,Illinois,Ryan Causeway
Norfolk Island,Lake Tinamouth,69063,New Hampshire,Meyer Lock
Yemen,South Brittanyport,71939,Iowa,Wallace Shore
Timor-Leste,Jonesmouth,71387,Texas,Karen Course
Palau,West Amandaport,42660,Arizona,Salas Cliffs
Syrian Arab Republic,Gonzalesstad,38679,New York,Rebecca Divide
Northern Mariana Islands,Madelinehaven,47729,Missouri,Karen Mountains
Italy,East Kathryn,40949,Maryland,Anne Garden
Slovenia,New Mark,98401,Hawaii,Sullivan Crossroad
Senegal,East Rebecca,84822,Delaware,Timothy Dale
Vanuatu,Randallside,48788,Alabama,Thomas Centers
Poland,Schneiderside,95674,Oregon,Michael Squares
Northern Mariana Islands,South Sharon,00756,Alabama,Adam Circles
Marshall Islands,Thompsontown,52925,North Dakota,Moore Ferry
Kiribati,Mclaughlinstad,35531,Nevada,Wood Mountains
Malta,Michaelbury,76013,Ohio,Armstrong Springs
Dominican Republic,West Antonio,41665,Minnesota,Gary Forge
Czech Republic,West Tamara,92987,Wisconsin,Ian Mountains
Australia,Smithborough,92844,South Dakota,Tony Cliff
Singapore,Port Desireeburgh,54581,West Virginia,Melody Causeway
Moldova,South Kenneth,68062,South Carolina,Harris Mission
Jersey,Schmidtview,61633,New Hampshire,Rodriguez Streets
United States Minor Outlying Islands,South Hollyfort,02338,Virginia,Greene Summit
French Guiana,Lake Denise,92105,Alaska,Frye Squares
Paraguay,Charlesview,10404,Hawaii,Deleon Manors
Guatemala,Port Robert,62080,Colorado,Lee Ridge
Tuvalu,Harrisonfort,80358,Arkansas,Smith Circle
Samoa,Amandabury,80588,Alaska,Christina Plain
Montenegro,Port Sandra,10909,Massachusetts,Cameron Trail
Uruguay,New Kevin,07707,Indiana,Megan Extension
French Polynesia,West Kimberlystad,54784,North Carolina,Lewis Divide
Antarctica (the territory South of 60 deg S),East Melanie,71791,Georgia,Zachary Light
Sierra Leone,Noahfurt,69043,West Virginia,Courtney Station
Sao Tome and Principe,Port Jeffreyshire,10464,New York,Perez Mount
Tokelau,Francestown,45402,Idaho,Bradley Route
Montenegro,Scottmouth,15633,South Carolina,Fernando Manor
Samoa,Port Paulhaven,19946,Wyoming,Kimberly Inlet
Guinea,Richport,57180,Vermont,Cook Canyon
Saint Martin,New Barryton,89143,North Dakota,Livingston Circle
Finland,West Jason,23157,Maine,Thompson Stravenue
Guinea-Bissau,Porterfurt,01163,Florida,Meyer Crest
Belarus,Brooksshire,42708,Louisiana,Henderson Pike
India,South Dianaside,16347,California,Spencer Views
Macao,Jacksonview,09897,Utah,Michael Wall
Cook Islands,Joshuabury,99242,Nebraska,Ray Divide
Philippines,Port Deniseville,08941,Oregon,Kirk Drive
New Zealand,West Ianshire,15010,Oklahoma,Weeks Plain
Madagascar,East Alvin,91674,North Carolina,Beltran Light
Lesotho,North Dustinhaven,96885,Vermont,Ramsey Pines
Bahrain,Port Billychester,33802,Montana,Shelton Plaza
Burkina Faso,Samanthashire,69665,New Mexico,Thompson Villages
Lebanon,Richmondside,87765,Ohio,Brandon Plains
Ethiopia,Cooperfort,32439,Michigan,Mitchell Island
Jamaica,Lake Sara,98147,Idaho,Darrell Ranch
Palestinian Territory,Lake Jasonberg,80222,Wyoming,Larson Fields
Gambia,Stacyfort,11156,New Hampshire,Rodriguez Groves
Falkland Islands (Malvinas),New Deborahtown,72666,Idaho,Wells Alley
Albania,Martinhaven,24843,Pennsylvania,Williams Springs
Bahrain,Andersonbury,63087,Vermont,Jennifer Tunnel
Malawi,Courtneyfort,35733,New Jersey,Petersen Oval
Christmas Island,Turnerchester,11500,Arizona,Hernandez Junction
Liberia,East Kaylafurt,24741,Iowa,Mary Spring
Kazakhstan,Christineland,95511,Vermont,Christy Forge
Mozambique,Port Peterfort,09305,Vermont,Martin Key
Swaziland,North Jessicaburgh,73222,Hawaii,West View
Tokelau,New Michaelchester,43629,Tennessee,Long Stravenue
Northern Mariana Islands,Garciahaven,84694,Nevada,Parker Station
Spain,Lake Stephenbury,43771,California,Gilbert Cove
Swaziland,West Stacy,96285,Washington,Newman Expressway
Oman,North Shawnshire,91154,Hawaii,Barnes Hills
United States Minor Outlying Islands,Port Cynthiamouth,84123,Kansas,Garrison Pass
Kyrgyz Republic,Acevedoville,38496,Montana,Mathis Station
Albania,Choimouth,66963,Colorado,Burnett Village
Zambia,Lewisbury,54113,Delaware,Ortiz Terrace
Heard Island and McDonald Islands,Port Thomashaven,25857,West Virginia,Jeffery Ridge
Azerbaijan,East James,09152,Colorado,Samuel Ways
Portugal,Port Davidmouth,97306,Wyoming,Ashley Cliff
Macedonia,New Alex,11132,West Virginia,Ashley Island
Burkina Faso,West Monica,59992,Wisconsin,Sydney Keys
Cayman Islands,South Daniellemouth,41820,Texas,Cooper Unions
Bolivia,Laneberg,64288,Mississippi,William Manor
Taiwan,Roweborough,47033,Tennessee,Robert Course
Sudan,Port Melissa,69027,Washington,Molina Port
Armenia,Port Angieton,37421,Iowa,Jerry Locks
Peru,Lake Samanthamouth,90472,New Hampshire,Jennifer Hollow
Namibia,Jonathanview,60299,Kansas,Davis Grove
Thailand,West Roger,74641,Maryland,April Avenue
Canada,South Billymouth,13655,Alabama,Melissa Union
Mongolia,North Jared,65217,Alabama,Michelle Fork
Central African Republic,New Derricktown,71383,California,Destiny Place
Falkland Islands (Malvinas),Kevinstad,70935,Montana,White Points
Italy,South Sara,23003,Missouri,Joshua Fork
Korea,North Lynn,43981,Oklahoma,Fisher Unions
Angola,New Noah,66945,Ohio,Rebecca Ferry
Luxembourg,Joshuafurt,88604,Oregon,Peter Neck
Peru,North Shannonton,53921,Florida,Melissa Crescent
Costa Rica,South Samanthafort,17023,Michigan,Amanda Fort
Italy,New Walter,63923,Oregon,Nancy Knolls
Indonesia,Tuckermouth,63607,New Hampshire,Osborne Extension
Dominican Republic,Lake Anthonyfurt,06995,South Carolina,Larry Port
Azerbaijan,Lake Alyssaview,22728,Michigan,Kelly Estate
United Kingdom,Lake Leslieborough,25633,Arizona,Susan Freeway
Zimbabwe,Port Loretta,19981,Rhode Island,Sanchez Glen
Macedonia,North Jasonland,39222,Washington,Meyer Land
Reunion,Foleyburgh,51622,Florida,Melissa Ford
Vanuatu,New Nathan,89638,California,Luna Prairie
Gibraltar,Victorberg,46064,Texas,Matthew Camp
Peru,Delgadomouth,99235,Mississippi,Reeves Heights
Svalbard & Jan Mayen Islands,Carrshire,73829,Montana,Norton Crest
Cape Verde,New Kevinborough,80581,Alaska,Gregory Shoal
Cape Verde,North Gerald,37109,Wisconsin,Joe Shores
Armenia,Kathrynville,61056,New Hampshire,Willie Forks
Anguilla,North Mary,49938,Pennsylvania,Stanley Curve
Dominica,Georgeborough,03949,Delaware,Alexa Fords
Bangladesh,South Kennethborough,15940,Minnesota,Ayala Lodge
Iran,Gregorytown,63503,New Hampshire,Williams Brooks
Sweden,Rayberg,20583,Florida,Brian Field
Congo,Margaretmouth,71609,North Carolina,Wilson Radial
Somalia,Robertoside,50861,Oklahoma,Christopher Dale
Ethiopia,Port Jeffrey,57667,Ohio,David Plaza
Martinique,Wongton,49933,Alaska,Burton Roads
Cayman Islands,New Gracechester,41804,North Dakota,Leslie Fall
India,North Colleen,03411,New Mexico,Hill Flats
Gibraltar,West Nicholaschester,64487,Utah,Gordon Crossroad
Belgium,Port Raymond,46230,West Virginia,Lee Shore
Czech Republic,Brooksfort,50732,Pennsylvania,Nicholas Field
Rwanda,Timothyland,21356,Florida,Mills Unions
Czech Republic,North Heatherport,82401,New Hampshire,Simpson Ranch
Kenya,West Williamview,25794,Indiana,Hernandez Springs
Tokelau,Lake Kristie,98257,South Carolina,Hess Brooks
Netherlands Antilles,South Michelle,42164,Alaska,Holder Turnpike
Croatia,Curtisshire,47831,Colorado,Jill Shore
Eritrea,North Curtismouth,28799,Ohio,Griffin Inlet
British Virgin Islands,Kristopherview,50781,Wyoming,Cuevas Dam
Mayotte,West Robertview,52026,Nevada,Williams River
United States Virgin Islands,South Tristan,98119,Kentucky,Oliver Avenue
Iran,Wilsonfurt,24087,Arkansas,Patterson Key
Norway,North Kyleborough,47915,Wisconsin,Reginald Mountains
Azerbaijan,South Donnafurt,95779,Wisconsin,Gibson Loop
Burundi,East Jennifer,32648,New Mexico,Hunter Mission
Philippines,Ashleymouth,24541,Colorado,James Club
Samoa,Port Lisaberg,20473,Rhode Island,Glenn Ridge
Guyana,New Eric,09531,Delaware,Eric Forges
Norfolk Island,Port Rhondamouth,06467,Wyoming,Richard Lakes
Estonia,New Joshua,64445,Virginia,Price Radial
Falkland Islands (Malvinas),New Ericaside,29781,Kentucky,Shaw Fields
Namibia,New Jill,20412,Georgia,Harris Pine
Haiti,Lake Sheri,51780,Vermont,Brittany Stravenue
Russian Federation,Ingrambury,29054,Mississippi,Vargas Lodge
Ghana,New Brandonmouth,62645,Vermont,Amber Isle
Georgia,Davisstad,78972,Massachusetts,Linda Trail
Mauritania,Ashleyport,24486,New York,Mann Unions
British Virgin Islands,Kaylaport,81960,New York,Jackson Radial
Netherlands Antilles,Brandonburgh,14917,Pennsylvania,Tapia Well
Bhutan,West Allenmouth,29619,New York,Liu Summit
Saint Pierre and Miquelon,Ellisshire,93030,Georgia,Richard Knoll
Samoa,Clinefurt,53725,Pennsylvania,Nicholas Unions
Kazakhstan,East Richard,88842,Indiana,Best Creek
United States Minor Outlying Islands,Brownstad,40557,Massachusetts,Marco Knolls
French Guiana,Jenniferburgh,23127,Washington,Margaret Falls
Aruba,Englishfort,03222,Nevada,Susan Mews
Cayman Islands,South Billy,39868,Georgia,Thomas Shoal
United Kingdom,Larsonview,47927,Illinois,Rivera Cliff
Tuvalu,Lake Peter,15260,Wisconsin,Hanna Lodge
Canada,Port Darlene,14160,Massachusetts,White Haven
Bermuda,West Richardton,71638,Rhode Island,Cooper Mountains
Norway,East Alexafurt,94427,South Carolina,William Knoll
Brazil,South Josephville,90857,Connecticut,Davis Square
Cameroon,South Lori,32003,Iowa,Mary Pass
Philippines,West Thomasmouth,11504,Pennsylvania,Jason Well
Bangladesh,Josephport,89339,Rhode Island,Green Tunnel
Panama,South Sarah,23040,Colorado,Garner Mountains
Qatar,Lisaville,56554,Oregon,Cardenas Path
Kiribati,Gonzaleschester,54539,Ohio,Jennifer Walk
Nicaragua,Coleport,55738,Missouri,Pollard Passage
Holy See (Vatican City State),West Jacob,84485,Ohio,Young Drive
Saudi Arabia,East Ashleyland,38103,Montana,Warren Ridges
Burkina Faso,Sullivanton,79218,Iowa,Stark Spur
Belgium,Lake Rebeccamouth,91112,Louisiana,Leslie Key
Ukraine,West Sarah,95520,Nevada,Stevens Vista
Vanuatu,Lake Josephfurt,88733,Delaware,Kimberly Fields
Maldives,Valerieberg,05372,North Dakota,Williams Ville
Czech Republic,Sandraville,81736,Idaho,Myers Walks
Djibouti,West Lucasland,81636,Maine,Bobby Green
French Southern Territories,Hernandezfort,24901,Nevada,Duncan Light
Portugal,Christophermouth,68232,Utah,Jonathon Junctions
Tanzania,East Lori,74536,Louisiana,Ronald Route
Georgia,Silvaport,47788,Connecticut,Davis Lodge
Myanmar,East Carlaside,15891,Tennessee,Barnes Extension
Niue,New Laura,55701,South Carolina,Boyd Village
Eritrea,Valdezchester,59887,South Dakota,Lisa Glens
Chile,Carpenterfurt,66342,South Dakota,Gwendolyn Route
Norway,Lewisstad,84629,Rhode Island,Parrish Port
Paraguay,Kelseybury,31325,Tennessee,Higgins Station
French Southern Territories,Jessicachester,96406,Nebraska,Erika Corner
Malawi,Cruzport,06369,Nevada,Robles Street
Sao Tome and Principe,Port Brianfort,66857,Delaware,Christopher Club
Zimbabwe,North Katherineville,91639,Pennsylvania,Christine Rest
Mayotte,North Christopherburgh,04578,Georgia,Mitchell Locks
Macedonia,East Gregorystad,30871,Florida,Mary Spur
Norway,East Carlview,70726,New York,Reed Orchard
Guatemala,South Robert,05875,Oregon,Christopher Meadow
Somalia,Kimberlymouth,55350,Alaska,Mullins Plain
Isle of Man,Lake Jillianmouth,48102,Montana,Shepard Villages
Cote d'Ivoire,Richardport,20980,Iowa,Hernandez Groves
Chad,Brittanyfurt,66310,Tennessee,Thomas Manors
Dominican Republic,New Jennifer,11735,Utah,Lee Manor
Tunisia,Christianchester,67764,Alaska,Dale Spurs
Wallis and Futuna,West Jessechester,62841,Iowa,Leonard Meadows
Netherlands,East Jennahaven,13431,South Dakota,Darlene Turnpike
Pitcairn Islands,South Aaronfurt,99699,Minnesota,Joshua Overpass
Northern Mariana Islands,Joshuamouth,33783,Montana,Anderson Street
Bulgaria,Francisside,52091,New Mexico,Tara Drive
Venezuela,Mcconnellland,15117,New York,Mcdonald Port
Solomon Islands,Dorseyberg,59184,New Jersey,Richard Orchard
Antarctica (the territory South of 60 deg S),Ericborough,45476,Montana,Karen Junction
Hungary,Gentryburgh,83913,New Hampshire,David Pike
Portugal,North Antonioville,47724,New York,Kenneth Plain
Colombia,Sharonmouth,56285,Arizona,Smith Estate
Iraq,Wagnerstad,80783,Nebraska,Kevin Union
Bahrain,North Jesus,38310,Oregon,Amy Plain
Brazil,Williamhaven,74197,Nebraska,Craig Passage
Ecuador,Port Terriberg,81710,Pennsylvania,Tommy Tunnel
Burundi,Daystad,86071,Wisconsin,Mary Harbors
Pitcairn Islands,East Roberttown,97718,Arizona,Chris View
United Kingdom,East Ronaldshire,30185,Missouri,Reyes Corner
Papua New Guinea,North Erinmouth,96614,Nevada,Schultz Lane
Martinique,Port Jorge,68908,Alabama,Julian Throughway
Finland,Amymouth,74902,Hawaii,Brown Spur
Kuwait,Floreschester,18160,Florida,Sherri Junction
Argentina,East Luis,32730,South Carolina,Gary Skyway
Guadeloupe,Port Kiarachester,47407,New Hampshire,King Mall
Morocco,Paulland,92722,South Carolina,Mariah Canyon
Taiwan,East Cathyport,42948,Connecticut,Oliver Isle
Taiwan,Georgebury,53224,Indiana,Stephens Prairie
Bouvet Island (Bouvetoya),Lake Cassidyberg,01636,Nebraska,Cruz Unions
Zimbabwe,New Carl,82346,Maine,Austin Parkways
Lebanon,Briannatown,11097,Georgia,Simpson Landing
Grenada,Mcneilbury,82331,New Hampshire,Michelle Mountains
Libyan Arab Jamahiriya,Mcdanielmouth,97672,Oregon,Cooper Trail
Qatar,Port Christophershire,03333,Maryland,Shepherd Summit
Austria,Anthonyland,36472,Alaska,Montgomery Road
Saint Pierre and Miquelon,Port Molly,10806,Tennessee,Caldwell Throughway
Australia,New Thomas,26062,North Carolina,Martin Haven
Ethiopia,East Katieburgh,02579,Tennessee,Myers Views
United States Virgin Islands,Taylorfurt,34638,Delaware,Hamilton Harbor
Mauritania,Pricemouth,27952,Vermont,Jackie Island
Christmas Island,Port Davidstad,92167,Ohio,Aguilar Mountains
Sao Tome and Principe,Ricardoton,04480,Delaware,Benitez Landing
Bulgaria,Thomasshire,77975,Massachusetts,Contreras Ford
Mali,New Nicholasburgh,84288,Pennsylvania,Garza Via
Brunei Darussalam,Lewisbury,56070,Wisconsin,Joseph Harbor
Greenland,New Megan,19883,Idaho,Donald Creek
Netherlands,Port Melissa,76118,Missouri,Vicki Dam
Zimbabwe,North Kimberlyland,12540,Colorado,Nicholas Green
American Samoa,Lake Nicholasmouth,16734,Rhode Island,Chen Lakes
Dominica,Mcfarlandstad,87251,Maine,Adams Hollow
Congo,North Robertochester,75169,Hawaii,Rodgers Park
Fiji,West Jasonside,75195,Pennsylvania,Kara Ridges
Guinea-Bissau,Julieborough,91997,South Carolina,Wilson Branch
Venezuela,South Austinstad,01200,North Dakota,Rebekah Burgs
Fiji,New Carolinestad,93573,Virginia,Walker Street
Bouvet Island (Bouvetoya),Butlertown,58606,Wyoming,Thompson Green
Palestinian Territory,Lake Justin,77883,Colorado,Poole Orchard
Denmark,South Veronicaland,11720,Arizona,Joseph Radial
Estonia,Howardmouth,13581,Tennessee,Burke Oval
Lebanon,Lake Lindaland,31727,Pennsylvania,Chad Junctions
Mali,North Roberttown,43295,Mississippi,Hansen Common
Korea,Lake Rhonda,64358,Colorado,Steven Dale
United States Minor Outlying Islands,Herreraburgh,18179,Illinois,Jessica Row
Sudan,West Stephanieberg,23363,Alabama,Mccarthy Pass
Guadeloupe,Collinsport,25464,West Virginia,Jessica Lights
Swaziland,South Robert,71002,Minnesota,Patricia Locks
Palestinian Territory,Powelltown,52610,Virginia,Sanford Parks
Guyana,Camposside,55469,Florida,Fischer Wall
Maldives,Dennisburgh,95747,Wyoming,Jody Stream
Saint Martin,Brownport,63841,Massachusetts,Cook Ridge
Grenada,Lynchbury,21233,Virginia,Melvin Plains
Macao,Wallacefort,79248,West Virginia,Cannon Land
Uzbekistan,Stephanieview,19596,Washington,Andrew Ferry
Monaco,Lake Manuel,94669,Rhode Island,Jennifer Hollow
Cambodia,Lopezview,83809,Mississippi,William Plain
Antarctica (the territory South of 60 deg S),New Amandahaven,40782,Illinois,Jacob Mission
Benin,Lake Hannah,04239,Georgia,Schmidt Highway
Honduras,Laneshire,96834,Oklahoma,Robinson Dam
Slovenia,Hinesmouth,15645,North Carolina,Joseph Branch
Ghana,Matthewstad,59025,Alabama,Pope Rapid
Saint Pierre and Miquelon,North Beth,75969,Arizona,Richard Plains
Belgium,Colintown,99021,Idaho,Allison Knolls
Hungary,West Troymouth,23720,Tennessee,Newman Valleys
Denmark,Austinland,61974,Indiana,Lydia Stravenue
Algeria,Keyburgh,73536,Tennessee,Allen Views
Canada,North Jessicamouth,15129,Virginia,Angela Village
Bosnia and Herzegovina,New Kaylaborough,93589,Mississippi,Christopher Skyway
Kazakhstan,West Brittney,17352,Arizona,Avila Fort
Singapore,Port Aliciaburgh,07004,Rhode Island,Ryan Fork
Nigeria,Melissafort,69584,Delaware,Burns Locks
Marshall Islands,Martinezburgh,57061,Nebraska,Patton Forge
Estonia,West Mary,61306,Oregon,Oliver Ports
Argentina,West Juliabury,88673,Georgia,Gonzales Place
